"Kod";"Nazwa";"styczeń;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2020;[osoba]";"luty;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2020;[osoba]";"marzec;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2020;[osoba]";"kwiecień;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2020;[osoba]";"maj;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2020;[osoba]";"czerwiec;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2020;[osoba]";"lipiec;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2020;[osoba]";"sierpień;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2020;[osoba]";"wrzesień;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2020;[osoba]";"październik;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2020;[osoba]";"listopad;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2020;[osoba]";"grudzień;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2020;[osoba]";
0000000;"POLSKA";2291506;2378371;881365;;;;;;;;;;
0200000;"DOLNOŚLĄSKIE";287883;296460;106801;;;;;;;;;;
0400000;"KUJAWSKO-POMORSKIE";82297;87966;35814;;;;;;;;;;
0600000;"LUBELSKIE";62628;67199;23864;;;;;;;;;;
0800000;"LUBUSKIE";39599;36711;15437;;;;;;;;;;
1000000;"ŁÓDZKIE";94101;94773;35502;;;;;;;;;;
1200000;"MAŁOPOLSKIE";435093;429637;132594;;;;;;;;;;
1400000;"MAZOWIECKIE";369902;364318;149196;;;;;;;;;;
1600000;"OPOLSKIE";25994;27400;12766;;;;;;;;;;
1800000;"PODKARPACKIE";82513;82419;27819;;;;;;;;;;
2000000;"PODLASKIE";40466;39943;15513;;;;;;;;;;
2200000;"POMORSKIE";166772;178185;68523;;;;;;;;;;
2400000;"ŚLĄSKIE";214135;212731;81053;;;;;;;;;;
2600000;"ŚWIĘTOKRZYSKIE";37080;42786;18387;;;;;;;;;;
2800000;"WARMIŃSKO-MAZURSKIE";70380;73836;25397;;;;;;;;;;
3000000;"WIELKOPOLSKIE";116664;138800;56489;;;;;;;;;;
3200000;"ZACHODNIOPOMORSKIE";165999;205207;76210;;;;;;;;;;
