"Kod";"Nazwa";"styczeń;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2017;[osoba]";"luty;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2017;[osoba]";"marzec;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2017;[osoba]";"kwiecień;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2017;[osoba]";"maj;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2017;[osoba]";"czerwiec;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2017;[osoba]";"lipiec;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2017;[osoba]";"sierpień;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2017;[osoba]";"wrzesień;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2017;[osoba]";"październik;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2017;[osoba]";"listopad;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2017;[osoba]";"grudzień;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2017;[osoba]";
0000000;"POLSKA";1847429;1907901;2107293;2285368;2847226;3250518;3755086;3803479;3123243;2671256;2273641;2116904;
0200000;"DOLNOŚLĄSKIE";218482;245882;217865;251473;303774;317700;339497;362936;316046;284510;221280;242951;
0400000;"KUJAWSKO-POMORSKIE";69125;71241;83759;92579;129014;146529;143447;143419;130894;108357;95936;79682;
0600000;"LUBELSKIE";52233;52662;65873;72433;93884;105540;126323;130816;103537;87425;75415;60801;
0800000;"LUBUSKIE";37948;34177;42573;51914;61352;70632;83165;81297;63087;51314;44324;39807;
1000000;"ŁÓDZKIE";77622;83150;99324;99696;113598;121721;115133;112564;141211;127049;118435;98236;
1200000;"MAŁOPOLSKIE";319454;319114;320576;350945;440852;478043;530155;560213;474111;408884;333277;365754;
1400000;"MAZOWIECKIE";323074;305443;411359;394772;458544;490903;459751;461200;492409;468518;438710;387285;
1600000;"OPOLSKIE";25826;24377;28697;31603;39221;45212;48141;45669;40355;36313;30268;26267;
1800000;"PODKARPACKIE";68735;66306;76131;82204;108580;124376;148287;157691;123687;109136;84682;76223;
2000000;"PODLASKIE";36293;38141;41061;46477;62285;74076;87447;81225;62517;51408;45736;40094;
2200000;"POMORSKIE";120470;130768;145599;179610;251258;329621;489925;465101;263510;185509;156257;145443;
2400000;"ŚLĄSKIE";177130;183623;180759;178368;221616;241583;253996;278470;258487;236900;198641;187070;
2600000;"ŚWIĘTOKRZYSKIE";33348;37755;44571;43273;58615;62380;59181;60834;55222;48120;41536;35446;
2800000;"WARMIŃSKO-MAZURSKIE";60681;65788;63233;81324;111831;145765;194696;184886;126261;85202;77806;65151;
3000000;"WIELKOPOLSKIE";108844;118855;144920;156167;179368;202827;213092;210592;204675;182229;153934;130742;
3200000;"ZACHODNIOPOMORSKIE";118164;130619;140993;172530;213434;293610;462850;466566;267234;200382;157404;135952;
