"Kod";"Nazwa";"styczeń;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2019;[osoba]";"luty;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2019;[osoba]";"marzec;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2019;[osoba]";"kwiecień;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2019;[osoba]";"maj;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2019;[osoba]";"czerwiec;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2019;[osoba]";"lipiec;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2019;[osoba]";"sierpień;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2019;[osoba]";"wrzesień;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2019;[osoba]";"październik;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2019;[osoba]";"listopad;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2019;[osoba]";"grudzień;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2019;[osoba]";
0000000;"POLSKA";2124118;2187680;2401899;2460560;3280645;3605839;4059520;4319590;3347843;2987993;2596441;2295963;
0200000;"DOLNOŚLĄSKIE";283174;268665;274124;285207;372953;361650;387199;428654;353942;342273;287683;286790;
0400000;"KUJAWSKO-POMORSKIE";76625;79634;92481;92833;130467;149671;143178;155448;132194;119588;102920;83623;
0600000;"LUBELSKIE";54937;61479;73571;76677;113220;119900;135061;149391;111581;97513;84668;68125;
0800000;"LUBUSKIE";35587;34777;42179;52565;71174;79567;94027;94876;67018;56623;46032;46374;
1000000;"ŁÓDZKIE";90635;98905;117745;110331;129693;130681;122557;128597;144417;128642;123155;98209;
1200000;"MAŁOPOLSKIE";368787;388571;381527;395422;500413;522626;570576;643541;515068;484080;409695;417179;
1400000;"MAZOWIECKIE";352666;347072;426109;420329;525399;533498;485477;510184;541250;515241;485547;393415;
1600000;"OPOLSKIE";25044;27833;32565;30925;42665;45268;47203;50188;40359;40738;34828;29395;
1800000;"PODKARPACKIE";79127;77708;81887;81467;120846;126468;148712;167351;128797;118031;87033;79612;
2000000;"PODLASKIE";34451;35050;39080;42609;67378;77093;89972;93883;65056;52825;48286;42843;
2200000;"POMORSKIE";139661;152582;174400;197889;287884;370986;519460;530841;290319;218768;188298;167587;
2400000;"ŚLĄSKIE";205058;208590;200761;197700;257423;278896;283905;315129;271776;257509;229704;196744;
2600000;"ŚWIĘTOKRZYSKIE";38680;39628;50888;44870;67464;72292;63908;76749;62058;54275;48201;37330;
2800000;"WARMIŃSKO-MAZURSKIE";60540;69355;68320;77882;128995;164685;206925;215486;137132;92307;82819;73004;
3000000;"WIELKOPOLSKIE";124037;131955;156380;154729;204138;221090;229065;233339;203263;186062;158036;131121;
3200000;"ZACHODNIOPOMORSKIE";155109;165876;189882;199125;260533;351468;532295;525933;283613;223518;179536;144612;
